Localité;ID;Code postal;ssCommune;Sous-commune;Commune principale;Province;;;;;;;;;;;;;;;;;;;;;
Hévillers;1413;1435;VRAI;Oui;MONT-SAINT-GUIBERT;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Mont-Saint-Guibert;1414;1435;FAUX;Non;MONT-SAINT-GUIBERT;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Braine-Le-Château;1415;1440;FAUX;Non;BRAINE-LE-CHÂTEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Wauthier-Braine;1416;1440;VRAI;Oui;BRAINE-LE-CHÂTEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Chastre-Villeroux-Blanmont;1417;1450;VRAI;Oui;CHASTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Cortil-Noirmont;1418;1450;VRAI;Oui;CHASTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Gentinnes;1419;1450;VRAI;Oui;CHASTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Saint-Géry;1420;1450;VRAI;Oui;CHASTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Nil-Saint-Vincent-Saint-Martin;1421;1457;VRAI;Oui;WALHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Tourinnes-Saint-Lambert;1422;1457;VRAI;Oui;WALHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Walhain-Saint-Paul;1423;1457;VRAI;Oui;WALHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Ittre;1424;1460;FAUX;Non;ITTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Virginal-Samme;1425;1460;VRAI;Oui;ITTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Haut-Ittre;1426;1461;VRAI;Oui;ITTRE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Baisy-Thy;1427;1470;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Bousval;1428;1470;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Genappe;1429;1470;FAUX;Non;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Loupoigne;1430;1471;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Vieux-Genappe;1431;1472;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Glabais;1432;1473;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Ways;1433;1474;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Houtain-Le-Val;1434;1476;VRAI;Oui;GENAPPE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Clabecq;1435;1480;VRAI;Oui;TUBIZE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Oisquercq;1436;1480;VRAI;Oui;TUBIZE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Saintes;1437;1480;VRAI;Oui;TUBIZE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Tubize;1438;1480;FAUX;Non;TUBIZE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Court-Saint-Etienne;1439;1490;FAUX;Non;COURT-SAINT-ETIENNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Marbais;1440;1495;VRAI;Oui;VILLERS-LA-VILLE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Mellery;1441;1495;VRAI;Oui;VILLERS-LA-VILLE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Sart-Dames-Avelines;1442;1495;VRAI;Oui;VILLERS-LA-VILLE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Tilly;1443;1495;VRAI;Oui;VILLERS-LA-VILLE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Villers-La-Ville;1444;1495;FAUX;Non;VILLERS-LA-VILLE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Halle;1500;1500;FAUX;Non;HALLE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Buizingen;1501;1501;VRAI;Oui;HALLE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Lembeek;1502;1502;VRAI;Oui;HALLE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Herfelingen;1503;1540;VRAI;Oui;HERNE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Herne;1504;1540;FAUX;Non;HERNE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
